date,AAPL,MSFT,NVDA,AVGO,GOOGL,AMZN,META,JPM,V,MA,JNJ,UNH,XOM,CVX,PG,KO,COST,CAT,WMT,HD
2015-03-31,0.09999999512503334,4.884623114048795e-09,3.443031427544898e-08,0.09999996105326688,0.09999999495269,0.09999999903429725,0.0999999903268356,5.8639236275695155e-09,8.591051034726484e-08,2.4537946796013256e-07,5.5311560600534724e-08,0.09999999646102904,8.837179953070339e-08,0.004762292111575346,8.843510212633371e-09,0.09999997920269253,0.09999999344955966,5.829772127453194e-09,0.09523726796065043,0.09999999549688791
2015-04-30,0.09999763820961023,0.09999999597157375,0.09999998528911874,0.03734564865465715,2.188047772418647e-09,0.07948707966750783,0.09999997693628564,0.09999999192177624,2.427427176814109e-09,0.07579774228745884,3.066955530683106e-09,0.06600173342444612,2.147030843710657e-09,0.09999997199292601,3.2922233628622514e-09,0.047195678429162294,5.091516548649513e-09,0.09417452974739345,4.77940582636809e-09,4.47547684747848e-09
2015-05-29,4.713936865948109e-09,0.08123539081352961,0.05139449698831484,0.09999998215081654,3.2056433819914058e-09,0.09999937152984843,5.887899710515485e-09,0.09999999648899385,0.004603253996859022,8.535214632333778e-08,0.017793418756904017,0.09999999693286842,0.0999999945356098,0.09999999029208276,3.04484253156353e-09,0.09999999496821685,0.044974006786950745,0.09999999726524002,3.005979373868432e-09,3.2833170651244004e-09
2015-06-30,7.748232442670948e-10,0.031714941453874775,3.8143011323183025e-09,0.06167578419961494,6.230021588593939e-10,0.09999999956034,0.09999994963613837,0.09999999934434096,0.006609303801599065,0.09999999957885645,0.09999999916045291,0.09999999949160293,0.09999999949745615,9.352822960804946e-10,1.541518829180589e-08,0.09999999915410317,1.0960641853264747e-09,0.09999999923956275,1.2136251360746642e-09,2.0097710825465417e-09
2015-07-31,7.528535914916267e-10,1.283745442769494e-09,9.930950288129363e-10,1.402265566974012e-07,0.0999999967484956,0.09999999920756114,0.09999999798119977,0.09999999633040016,0.09999999506802022,0.0999998552089269,0.09999997462572448,0.09999999791815266,6.976228862543935e-10,4.8867782723704e-10,1.4178282974381837e-09,0.09999999783931922,4.3274849206744606e-08,6.133977963216827e-10,9.778064750952654e-10,0.09999999834576677
2015-08-31,2.0786376962704158e-09,5.230748183420138e-09,0.019014920756365534,7.078790050104419e-10,0.09999986120752372,0.09999999643428006,0.0001425023433804719,6.6161872706681304e-09,0.09999999700638565,1.6045947190992902e-07,0.0999999950674715,0.09999996377072924,3.3087019849944658e-09,3.5255897572982323e-09,0.09999999232783872,0.09999999404225637,0.09999999704784525,0.06803915109260048,0.01280345152729362,0.09999999544881362
2015-09-30,3.342031869800757e-09,1.4458122627247198e-08,0.09999999651451487,1.2874164744552466e-09,0.09624909032628336,0.0999999714321193,8.629598124395281e-09,5.668952080005408e-09,0.09999994301202694,6.595558895399833e-09,0.09999999660128993,0.0037510300206946194,6.046950804239851e-09,3.6249777762266143e-09,0.09999997455218176,0.0999999892391274,0.09999999189343682,6.272076228234345e-09,0.09999996391000297,0.09999999657263706
2015-10-30,4.604450563476075e-09,1.1350470003499725e-07,0.09999999955886403,1.8931998266844905e-10,0.020979792390102076,0.05258905357418894,0.06345409759135809,1.7389903566440062e-09,0.08678685817893327,2.5023227325523395e-09,0.09999999887431923,0.03547470909157136,0.09999974668183811,1.5137505333175414e-09,0.09999999903515691,0.09999999737172952,0.09999999777000657,0.04071562565326608,1.89613787404315e-09,0.09999999827899356
2015-11-30,3.6270221739294625e-09,0.09999999508139568,0.09999999949179873,3.334577521201236e-10,0.030274203722912733,0.09999999793484973,0.09999998527885047,1.7031589355722798e-09,0.005541002915823999,2.2174356270765765e-09,0.0999999929376389,1.3732744259485544e-09,2.490511717894296e-09,0.08002079969275502,0.08416402315854975,0.09999999610126509,0.09999999638914978,9.551370980158203e-10,1.790928415189238e-09,0.09999999280408409
2015-12-31,2.761686173397499e-09,0.0737163242058352,0.099999987923668,0.09346101626011033,0.09999999611771755,0.09999999838810197,0.01038107950779673,1.268622020017196e-09,2.004555821939526e-06,3.1628347784754537e-09,0.09999999785984602,0.02243958183894683,3.007956701444482e-09,7.458525695162666e-09,0.09999999720975646,0.09999999786245785,0.09999999723493766,1.951914403606186e-09,3.468716131930873e-09,0.09999999795474765
2016-01-29,1.4981530916522823e-09,0.09999996738537384,7.801720907263414e-10,0.09874378282549037,0.09999998976727253,4.529366150875293e-09,1.3895936054202686e-08,2.0210595096033095e-09,1.4727800839058708e-08,1.8067328618318863e-09,0.09999999966601321,0.09999995004602556,0.0012563403617991756,3.51946294673949e-09,0.09999999811957583,0.09999999824257558,0.09999993512883036,2.0927831333821273e-09,0.09999999689512705,0.09999999669044979
2016-02-29,9.241051815045801e-09,1.4898338994369452e-08,3.1351585995975186e-08,0.061635706175917904,0.09495559884366604,5.910083347073946e-09,4.8241514361772215e-09,8.587276103245582e-09,1.3359831766450735e-08,1.1340132438556832e-08,0.09999999511892527,0.09999999473167545,0.09999998886121525,1.1258461392453303e-08,0.09999998951662643,0.09999999205776386,0.09999998082018206,0.04341304571948943,0.09999998286323097,0.0999956145203938
2016-03-31,2.4527565539877115e-08,4.767883109270989e-09,0.03524733747970309,1.0180134378197258e-08,0.06475247910000326,2.065126916500544e-09,2.2471490513035113e-07,2.1520259149370133e-09,7.3350545188547615e-09,3.820677674940962e-09,0.09999999941009075,0.099999999047486,0.09999999811649034,1.1378609054097169e-08,0.09999999989996197,0.09999999734462418,0.09999999722565335,0.09999999748952851,0.09999999753750664,0.09999990640696972
2016-04-29,1.4370646337073038e-10,1.832163850074961e-10,0.09999999987830156,5.273877733666823e-11,2.535464454922851e-10,0.09999999975158033,4.5983619910397523e-10,2.335025419886735e-10,1.465001420532989e-10,2.080874852566146e-08,0.09999999970778674,0.09999999982477374,0.09999999966024088,0.09999999975216607,1.1744543695769176e-09,0.09999999961567654,0.07546981546126696,0.09999999988196817,0.09999996855678335,0.024530194453217233
2016-05-31,4.8527875077714534e-09,6.948110269481906e-09,0.09999999393494893,1.7983459016257104e-08,1.0373028722771297e-08,0.09999999785630385,0.0999999906568839,0.08742049773887554,2.6499852101822084e-08,0.004250282278725486,0.09999999093931591,0.09999999164319201,0.09999999044812936,0.09999999556747664,9.454717763722985e-09,0.056681835790006976,6.403448977925435e-09,4.452227094775023e-09,0.09999993106174851,0.051647415116761186
2016-06-30,1.794768065927254e-11,1.2777967555449543e-11,0.09999999999708292,2.6709135901913504e-11,1.8467347672552088e-11,0.09999999999198267,0.06716945906635025,3.6372498632674754e-10,2.1257005430599675e-11,2.473887863658634e-11,0.09999999997545604,0.09999999997538908,0.09999999997762993,0.09999999999311691,0.09999999994383818,0.032830540745270954,0.0999999996734721,1.6093067433791227e-10,0.09999999996722654,4.663019832402786e-11
2016-07-29,0.09999997878975106,0.09999913280756403,0.09999999811318117,2.5683738558615117e-09,0.05683053008304523,0.09999999012136408,6.9927645123014e-10,9.443802477784922e-10,1.0267121059836704e-09,1.1849061152487834e-09,0.09999999667999597,0.09999999569963333,7.335459187701807e-09,5.702877390499926e-09,0.09999988665991537,1.724368996098132e-09,0.09999999744976884,0.04317047399596261,0.09999999696877306,1.4446910753461728e-09
2016-08-31,0.09999999449972008,0.09999999532428201,0.09999999735245747,2.658352098585606e-09,0.09999997053096997,0.09070437517075511,0.009030884491722218,2.4345165057414645e-09,3.382002546872246e-09,3.2023032772208155e-09,0.0999999965540612,1.814232456702125e-07,6.992316066140276e-09,7.768198119912184e-09,0.09999999609882637,5.8142697697866946e-09,0.0999999967033215,0.0002645936787511863,0.09999999591043555,0.09999999000949324
2016-09-30,0.09999999340244096,0.09999995356451921,0.09999999632037865,0.0033653282736255206,0.09999998499416565,0.09999997775804605,0.06662163702861933,0.09999995356079422,0.09999958955236705,0.09999998912601281,5.193409887403857e-09,9.402083937643705e-09,4.107392229675567e-09,5.136966754740039e-09,0.03001355967008679,5.1544510784780294e-09,5.145203292648931e-09,0.09999999073154951,6.1677449973597635e-09,5.710142010520738e-09
2016-10-31,0.099999999952534,0.09999999989281576,0.09999999998220852,1.7262078047033301e-10,0.024398640963820224,0.07560135107732295,0.09999999993856447,0.09999999990505534,0.09999999993086764,0.099999999905785,1.7286013023994477e-10,5.323050888905581e-09,7.748796694718529e-11,0.09999999989815203,0.09999999989974591,2.636499129074751e-10,1.3483620825342591e-10,2.251332447689743e-09,1.3424146852781352e-10,1.2304473500725538e-10
