date,transaction_cost
2015-03-31,0.001
2015-04-30,0.0005662496610166361
2015-05-29,0.00034419543485570645
2015-06-30,0.0002840888311765538
2015-07-31,0.00030150741376415457
2015-08-31,0.0003031826725154201
2015-09-30,0.0001708688057257828
2015-10-30,0.00024231217437661689
2015-11-30,0.000273015934648359
2015-12-31,0.00020218886298927575
2016-01-29,0.00022156772834359013
2016-02-29,0.00014263161077998672
2016-03-31,0.00010248337259715285
2016-04-29,0.0002680263513121295
2016-05-31,0.00023005125913549526
2016-06-30,0.00020268867597292588
2016-07-29,0.0003083442395230989
2016-08-31,0.0001618721810519587
2016-09-30,0.0004647268539589008
2016-10-31,0.00020472852564150563
2016-11-30,0.0004111610355178716
2016-12-30,0.0002054203099961221
2017-01-31,0.00018376826689292752
2017-02-28,0.0004820590011255884
2017-03-31,0.00018662312465107076
2017-04-28,0.0002887062034974534
2017-05-31,0.00028459923630701163
2017-06-30,0.000440420516451717
2017-07-31,0.00033343848296088887
2017-08-31,0.00017466628932080987
2017-09-29,0.0002987639535029932
2017-10-31,0.000292552923232134
2017-11-30,0.00028821478744004493
2017-12-29,0.0001829951428488555
2018-01-31,0.00022653508165984415
2018-02-28,0.00033800022947455023
2018-03-29,0.00029573826144969233
2018-04-30,0.0001824416772678729
2018-05-31,0.00016143567271535873
2018-06-29,0.0002519396050744056
2018-07-31,0.0004424187453319727
2018-08-31,0.0002587786633403611
2018-09-28,0.00024662964104140756
2018-10-31,0.0003759121906236839
2018-11-30,0.00018050324170499897
2018-12-31,0.00010258322812330076
2019-01-31,0.00012218887633719751
2019-02-28,0.0002066622706410205
2019-03-29,0.00028921097632911833
2019-04-30,0.00032904346368944714
2019-05-31,0.0003530383610634639
2019-06-28,0.00017103239622569036
2019-07-31,0.00013520731660241297
2019-08-30,0.00033269491812705786
2019-09-30,0.00016262039094301086
2019-10-31,0.00020863289145785056
2019-11-29,0.00020385293821638314
2019-12-31,0.00021775117561433093
2020-01-31,0.00043980675151983806
2020-02-28,0.00036344780593314816
2020-03-31,0.00032124581989007966
2020-04-30,0.00012084033600790705
2020-05-29,8.698192874742277e-05
2020-06-30,0.0003295623935232884
2020-07-31,0.0002207739381461719
2020-08-31,0.00017046650388189598
2020-09-30,0.0003117584811388178
2020-10-30,0.00013284612724621912
2020-11-30,5.775121597544679e-05
2020-12-31,0.0002219791485658783
2021-01-29,0.0003614339532959398
2021-02-26,0.0002485859285906181
2021-03-31,0.00016915878101809336
2021-04-30,0.00025791703981737
2021-05-28,0.0003731527889655348
2021-06-30,0.0004604153185085472
2021-07-30,0.0003043102364904266
2021-08-31,0.00019707497606279257
2021-09-30,0.0004203628924628482
2021-10-29,0.0003533502522989336
2021-11-30,0.00021137008855187978
2021-12-31,0.000260368855047301
2022-01-31,0.000246262587788979
2022-02-28,0.00018011342097235312
2022-03-31,0.0001756444608156056
2022-04-29,0.0001197707515411971
2022-05-31,0.0001584866150168383
2022-06-30,0.00019223277870336064
2022-07-29,5.867346050455578e-05
2022-08-31,0.00020696146735189685
2022-09-30,0.00011052535310259898
2022-10-31,0.00021989574915477062
2022-11-30,3.064557119791862e-05
2022-12-30,2.6289669789314488e-05
2023-01-31,0.0001777426909566752
2023-02-28,0.000153719895694476
2023-03-31,0.00029418772944524705
2023-04-28,0.00011105352153327632
2023-05-31,0.00029244540283438657
2023-06-30,0.0003501403600074465
2023-07-31,0.0002992443876381044
2023-08-31,0.0005978288806090292
2023-09-29,0.0003513788089878947
2023-10-31,0.0005072069704059156
2023-11-30,0.00029612874013761975
2023-12-29,0.0003354558888173277
2024-01-31,0.0004977518870828882
2024-02-29,0.0002014018940499821
2024-03-28,0.0002767320207464491
2024-04-30,0.00023139460588780336
2024-05-31,0.00016846182427249825
2024-06-28,0.00017616243147392362
2024-07-31,0.0002562676569445813
2024-08-30,0.00021092031795678074
2024-09-30,0.0002445040864680537
2024-10-31,0.0003015138034308523
2024-11-29,0.0003251477641192384
2024-12-31,0.00030525351536562454
2025-01-31,0.00024613272858819643
2025-02-28,0.00032575878553739684
2025-03-31,0.000312538824623149
2025-04-30,0.00025401571494178087
2025-05-30,0.00017419709069087567
2025-06-30,0.00023245269167969552
2025-07-31,0.0005001627913387802
2025-08-29,0.00019326522834227705
2025-09-30,0.00026293329457448874
2025-10-31,0.000393206904252111
2025-11-28,0.00017933381962033655
2025-12-31,0.00022870060089958823
2026-01-30,0.0002838722026137796
2026-02-27,0.00011188294460302028
2026-03-31,0.0001987443284875176
2026-04-30,0.00030941908751209155
2026-05-29,0.00025064219587396286
2026-06-30,0.00043394900685978915
2026-07-31,0.00017197515914881223
2026-08-31,0.00022620532306810148
2026-09-01,6.928339499368932e-05
