date,turnover
2015-03-31,1.0
2015-04-30,0.5662496610166361
2015-05-29,0.3441954348557064
2015-06-30,0.2840888311765538
2015-07-31,0.3015074137641546
2015-08-31,0.3031826725154201
2015-09-30,0.17086880572578278
2015-10-30,0.24231217437661687
2015-11-30,0.273015934648359
2015-12-31,0.20218886298927574
2016-01-29,0.22156772834359012
2016-02-29,0.14263161077998673
2016-03-31,0.10248337259715284
2016-04-29,0.2680263513121295
2016-05-31,0.23005125913549526
2016-06-30,0.20268867597292586
2016-07-29,0.30834423952309886
2016-08-31,0.1618721810519587
2016-09-30,0.4647268539589008
2016-10-31,0.20472852564150562
2016-11-30,0.4111610355178716
2016-12-30,0.2054203099961221
2017-01-31,0.18376826689292752
2017-02-28,0.4820590011255884
2017-03-31,0.18662312465107075
2017-04-28,0.28870620349745335
2017-05-31,0.2845992363070116
2017-06-30,0.44042051645171704
2017-07-31,0.33343848296088885
2017-08-31,0.17466628932080988
2017-09-29,0.29876395350299323
2017-10-31,0.292552923232134
2017-11-30,0.2882147874400449
2017-12-29,0.18299514284885549
2018-01-31,0.22653508165984415
2018-02-28,0.3380002294745502
2018-03-29,0.29573826144969234
2018-04-30,0.1824416772678729
2018-05-31,0.16143567271535872
2018-06-29,0.25193960507440555
2018-07-31,0.44241874533197273
2018-08-31,0.2587786633403611
2018-09-28,0.24662964104140758
2018-10-31,0.37591219062368386
2018-11-30,0.18050324170499896
2018-12-31,0.10258322812330076
2019-01-31,0.12218887633719751
2019-02-28,0.2066622706410205
2019-03-29,0.28921097632911835
2019-04-30,0.32904346368944715
2019-05-31,0.3530383610634639
2019-06-28,0.17103239622569036
2019-07-31,0.13520731660241297
2019-08-30,0.33269491812705787
2019-09-30,0.16262039094301087
2019-10-31,0.20863289145785055
2019-11-29,0.20385293821638314
2019-12-31,0.21775117561433094
2020-01-31,0.43980675151983806
2020-02-28,0.3634478059331481
2020-03-31,0.32124581989007966
2020-04-30,0.12084033600790704
2020-05-29,0.08698192874742278
2020-06-30,0.32956239352328837
2020-07-31,0.22077393814617188
2020-08-31,0.170466503881896
2020-09-30,0.31175848113881777
2020-10-30,0.1328461272462191
2020-11-30,0.057751215975446794
2020-12-31,0.22197914856587828
2021-01-29,0.36143395329593975
2021-02-26,0.2485859285906181
2021-03-31,0.16915878101809337
2021-04-30,0.25791703981737
2021-05-28,0.3731527889655348
2021-06-30,0.4604153185085472
2021-07-30,0.3043102364904266
2021-08-31,0.19707497606279256
2021-09-30,0.4203628924628482
2021-10-29,0.3533502522989336
2021-11-30,0.21137008855187978
2021-12-31,0.260368855047301
2022-01-31,0.24626258778897903
2022-02-28,0.1801134209723531
2022-03-31,0.17564446081560559
2022-04-29,0.1197707515411971
2022-05-31,0.15848661501683828
2022-06-30,0.19223277870336064
2022-07-29,0.058673460504555776
2022-08-31,0.20696146735189686
2022-09-30,0.11052535310259898
2022-10-31,0.21989574915477061
2022-11-30,0.03064557119791862
2022-12-30,0.026289669789314487
2023-01-31,0.1777426909566752
2023-02-28,0.153719895694476
2023-03-31,0.29418772944524707
2023-04-28,0.11105352153327631
2023-05-31,0.2924454028343866
2023-06-30,0.3501403600074465
2023-07-31,0.2992443876381044
2023-08-31,0.5978288806090292
2023-09-29,0.3513788089878947
2023-10-31,0.5072069704059157
2023-11-30,0.29612874013761975
2023-12-29,0.3354558888173277
2024-01-31,0.4977518870828882
2024-02-29,0.2014018940499821
2024-03-28,0.2767320207464491
2024-04-30,0.23139460588780336
2024-05-31,0.16846182427249826
2024-06-28,0.1761624314739236
2024-07-31,0.2562676569445813
2024-08-30,0.21092031795678073
2024-09-30,0.24450408646805366
2024-10-31,0.30151380343085227
2024-11-29,0.3251477641192384
2024-12-31,0.3052535153656245
2025-01-31,0.2461327285881964
2025-02-28,0.32575878553739684
2025-03-31,0.312538824623149
2025-04-30,0.2540157149417809
2025-05-30,0.17419709069087566
2025-06-30,0.2324526916796955
2025-07-31,0.5001627913387802
2025-08-29,0.19326522834227705
2025-09-30,0.2629332945744887
2025-10-31,0.393206904252111
2025-11-28,0.17933381962033654
2025-12-31,0.2287006008995882
2026-01-30,0.2838722026137796
2026-02-27,0.11188294460302028
2026-03-31,0.19874432848751758
2026-04-30,0.3094190875120916
2026-05-29,0.25064219587396286
2026-06-30,0.43394900685978915
2026-07-31,0.17197515914881223
2026-08-31,0.22620532306810148
2026-09-01,0.06928339499368932
