date,return
2015-04-01,-0.008246095738700413
2015-04-02,0.001443531987776064
2015-04-06,0.00795132042032856
2015-04-07,-0.004128221160228017
2015-04-08,0.005293328819641845
2015-04-09,-0.001050038975202893
2015-04-10,0.0006904867024663205
2015-04-13,-0.0019121847182733864
2015-04-14,-0.0018291025424596375
2015-04-15,-0.0030053675046102634
2015-04-16,0.0018807657947794583
2015-04-17,-0.01812932489647364
2015-04-20,0.015150559455653722
2015-04-21,0.0020009497680132894
2015-04-22,0.007281540913121638
2015-04-23,-0.0018728745152431065
2015-04-24,0.014800829461766252
2015-04-27,-0.005708410734844448
2015-04-28,-0.008206680699943281
2015-04-29,-0.010858357334126868
2015-05-01,0.008694946702715861
2015-05-04,-0.0005732070489280751
2015-05-05,-0.011875634646258806
2015-05-06,-0.003777382796269965
2015-05-07,0.009015751033568041
2015-05-08,0.003812173016147411
2015-05-11,-0.004716040584069938
2015-05-12,-0.0015981837126344829
2015-05-13,0.00368281386965865
2015-05-14,0.017084130054446523
2015-05-15,-0.0030306127157865804
2015-05-18,0.0009455229459732356
2015-05-19,-0.00275114078670124
2015-05-20,0.00028033944685669314
2015-05-21,0.002661003086998551
2015-05-22,-0.00225453970585122
2015-05-26,-0.010975023418921606
2015-05-27,0.01746205011768585
2015-05-28,-0.00232864575756509
2015-06-01,-1.0970271111101137e-05
2015-06-02,-0.004540771080247629
2015-06-03,0.0008193117754766653
2015-06-04,-0.008414902630278158
2015-06-05,0.0015138036639434904
2015-06-08,-0.007352861467140911
2015-06-09,0.0027196808695839026
2015-06-10,0.012044400798433708
2015-06-11,0.0007051933775655867
2015-06-12,-0.009285864317207284
2015-06-15,-0.003293044810336451
2015-06-16,0.006959363150200461
2015-06-17,-0.00016082295699180918
2015-06-18,0.011791091848235723
2015-06-19,-0.005666159071655605
2015-06-22,0.003736103161531973
2015-06-23,0.00202148158349548
2015-06-24,-0.009921563023059651
2015-06-25,-0.002457835116380153
2015-06-26,-0.0031747598593596348
2015-06-29,-0.01920152181059272
2015-07-01,0.006177472490129988
2015-07-02,0.000503093547782149
2015-07-06,-0.0039722042493906965
2015-07-07,0.0008051496685114855
2015-07-08,-0.016145059216462247
2015-07-09,0.0017687221461329134
2015-07-10,0.01631774865045649
2015-07-13,0.01186680422679934
2015-07-14,0.009065472349756116
2015-07-15,-0.00039488291436864194
2015-07-16,0.009026857807013336
2015-07-17,0.002137162711582018
2015-07-20,0.004171489301388605
2015-07-21,-0.002204323771699988
2015-07-22,-0.007011025480644139
2015-07-23,-0.009357869587191628
2015-07-24,0.00511155761179263
2015-07-27,-0.010104092933759527
2015-07-28,0.013112491915764385
2015-07-29,0.007410143487506027
2015-07-30,0.0019222545204988042
2015-08-03,0.0015774475124564066
2015-08-04,-0.0010586157513916522
2015-08-05,0.010620386850071876
2015-08-06,-0.011566851548494432
2015-08-07,-0.002303374517836975
2015-08-10,0.0035209669413558994
2015-08-11,-0.0003771955151695925
2015-08-12,-0.00242120232144451
2015-08-13,0.00026035080187222315
2015-08-14,0.005131642388163919
2015-08-17,0.0049210790506769376
2015-08-18,0.0038594457564267402
2015-08-19,-0.004625191574026619
2015-08-20,-0.021213715991120177
2015-08-21,-0.03733663808952377
2015-08-24,-0.04107849787636512
2015-08-25,-0.008208142063049303
2015-08-26,0.050619333098455094
2015-08-27,0.02282828716743924
2015-08-28,-0.0015502432685651044
2015-09-01,-0.024359920057861747
2015-09-02,0.017025803240244927
2015-09-03,-0.002595733431236122
2015-09-04,-0.015508558956317909
2015-09-08,0.023335723823676276
2015-09-09,-0.012654217139988828
2015-09-10,0.00557338156971251
2015-09-11,0.006922187403942796
2015-09-14,-0.0044815160486825125
2015-09-15,0.013008292460840936
2015-09-16,0.008864878622048298
2015-09-17,0.004562082891879279
2015-09-18,-0.012183013961278934
2015-09-21,0.009194714071490221
2015-09-22,-0.009175766349752536
2015-09-23,0.0016949566255945465
2015-09-24,-0.004821937492904067
2015-09-25,-0.005856700512588211
2015-09-28,-0.02068192762793454
2015-09-29,0.004231402351165673
2015-10-01,3.291741106827532e-05
2015-10-02,0.013776595362996174
2015-10-05,0.016590323732529166
2015-10-06,-0.001967398304970133
2015-10-07,0.008220077791946582
2015-10-08,0.0059642441386589
2015-10-09,0.003649996180224249
2015-10-12,0.006241768813237302
2015-10-13,-0.002107229379747644
2015-10-14,-0.01186743014223803
2015-10-15,0.011815056845857706
2015-10-16,0.006921958055200352
2015-10-19,0.003235174686430003
2015-10-20,-0.00629132465220703
2015-10-21,-0.004483287301185905
2015-10-22,0.017155853103633788
2015-10-23,0.01383547109914857
2015-10-26,0.004692540313314169
2015-10-27,-0.0007003301424424852
2015-10-28,0.003577586982265762
2015-10-29,0.0009281570059572711
2015-11-02,0.006021686214816939
2015-11-03,0.004384240691035936
2015-11-04,-0.0025784038177763956
2015-11-05,0.0032088218680987285
2015-11-06,0.009775460778032518
2015-11-09,-0.010393667854078014
2015-11-10,0.005503894499216767
2015-11-11,-0.00012022128562274263
2015-11-12,-0.013021970631527364
2015-11-13,-0.01506406047998796
2015-11-16,0.015453812204112011
2015-11-17,0.003708380359877435
2015-11-18,0.015901268830658993
2015-11-19,-0.0003888269914488572
2015-11-20,0.004837052776162323
2015-11-23,0.0029121555512408963
2015-11-24,0.002253327193986797
2015-11-25,-0.0004233913840163818
2015-11-27,0.0021552067491605468
2015-12-01,0.01500847087038548
2015-12-02,-0.005779863415415258
2015-12-03,-0.00933209731057746
2015-12-04,0.02240259995319264
2015-12-07,-0.00498486146683123
2015-12-08,0.001625998989965611
2015-12-09,-0.015409981982911776
2015-12-10,0.005812840389938221
2015-12-11,-0.01795947044164953
2015-12-14,0.01430711668232849
2015-12-15,0.008454917062160849
2015-12-16,0.014707035686155043
2015-12-17,-0.011885171147039755
2015-12-18,-0.017722174772807922
2015-12-21,0.007193925088351547
2015-12-22,0.007295481100527397
2015-12-23,0.00690511189309664
2015-12-24,-0.0016843661318734526
2015-12-28,0.0013292977986555411
2015-12-29,0.011479083282359578
2015-12-30,-0.005280404203545532
2016-01-04,-0.020353991803221814
2016-01-05,-0.0004457455779135447
2016-01-06,-0.013026249652444947
2016-01-07,-0.02569132090831156
2016-01-08,-0.0103893834530541
2016-01-11,0.00566758585868797
2016-01-12,0.01012452956252155
2016-01-13,-0.029435249623513585
2016-01-14,0.007300778913306669
2016-01-15,-0.025725875069826074
2016-01-19,0.007405786986304672
2016-01-20,-0.0041088724279517985
2016-01-21,0.008195495320123283
2016-01-22,0.019296588751927482
2016-01-25,-0.006337189950426267
2016-01-26,0.00873295928522299
2016-01-27,-0.00957584881950135
2016-01-28,0.02154352017957791
2016-02-01,0.00557765093745303
2016-02-02,-0.013837923274429207
2016-02-03,-0.008872643049253249
2016-02-04,-0.003423631685327377
2016-02-05,-0.020272175498179133
2016-02-08,-0.005968961104692713
2016-02-09,0.0008621174608871746
2016-02-10,-1.473741026638333e-05
2016-02-11,-0.009436571567195082
2016-02-12,0.015522507754532382
2016-02-16,0.01398009637868727
2016-02-17,0.01533855301462995
2016-02-18,-0.009939169361500366
2016-02-19,0.0044022142090352065
2016-02-22,0.011862212604992997
2016-02-23,-0.005015177528941411
2016-02-24,0.006867456276301562
2016-02-25,0.010764882587135044
2016-02-26,-0.011947860869754199
2016-03-01,0.015760275083841563
2016-03-02,0.0032480270834267613
2016-03-03,0.0012121398615004728
2016-03-04,0.004795299403245829
2016-03-07,0.00028046639514439533
2016-03-08,-0.002677847788476092
2016-03-09,0.00471516829442437
2016-03-10,0.0021952880914331953
2016-03-11,0.00914496930089775
2016-03-14,0.0007109932164600374
2016-03-15,0.0030585847079525183
2016-03-16,0.00206080013256361
2016-03-17,0.0056456174409265205
2016-03-18,0.0016242865037125994
2016-03-21,0.0024754397642525374
2016-03-22,-0.0005566007744734346
2016-03-23,-0.0002972228176085589
2016-03-24,-0.00022066299687649202
2016-03-28,0.0019432054145905524
2016-03-29,0.008645397104911905
2016-03-30,0.004906160766247515
2016-04-01,0.006966886894671309
2016-04-04,-0.00328686217464624
2016-04-05,-0.00672643286986264
2016-04-06,0.006267854391688749
2016-04-07,-0.011367092217865304
