date,slippage
2015-03-31,0.0005
2015-04-30,0.00028312483050831804
2015-05-29,0.00017209771742785323
2015-06-30,0.0001420444155882769
2015-07-31,0.00015075370688207728
2015-08-31,0.00015159133625771004
2015-09-30,8.54344028628914e-05
2015-10-30,0.00012115608718830844
2015-11-30,0.0001365079673241795
2015-12-31,0.00010109443149463788
2016-01-29,0.00011078386417179506
2016-02-29,7.131580538999336e-05
2016-03-31,5.1241686298576426e-05
2016-04-29,0.00013401317565606475
2016-05-31,0.00011502562956774763
2016-06-30,0.00010134433798646294
2016-07-29,0.00015417211976154945
2016-08-31,8.093609052597934e-05
2016-09-30,0.0002323634269794504
2016-10-31,0.00010236426282075282
2016-11-30,0.0002055805177589358
2016-12-30,0.00010271015499806106
2017-01-31,9.188413344646376e-05
2017-02-28,0.0002410295005627942
2017-03-31,9.331156232553538e-05
2017-04-28,0.0001443531017487267
2017-05-31,0.00014229961815350581
2017-06-30,0.0002202102582258585
2017-07-31,0.00016671924148044443
2017-08-31,8.733314466040494e-05
2017-09-29,0.0001493819767514966
2017-10-31,0.000146276461616067
2017-11-30,0.00014410739372002247
2017-12-29,9.149757142442775e-05
2018-01-31,0.00011326754082992208
2018-02-28,0.00016900011473727512
2018-03-29,0.00014786913072484617
2018-04-30,9.122083863393645e-05
2018-05-31,8.071783635767937e-05
2018-06-29,0.0001259698025372028
2018-07-31,0.00022120937266598636
2018-08-31,0.00012938933167018054
2018-09-28,0.00012331482052070378
2018-10-31,0.00018795609531184194
2018-11-30,9.025162085249948e-05
2018-12-31,5.129161406165038e-05
2019-01-31,6.109443816859876e-05
2019-02-28,0.00010333113532051025
2019-03-29,0.00014460548816455917
2019-04-30,0.00016452173184472357
2019-05-31,0.00017651918053173196
2019-06-28,8.551619811284518e-05
2019-07-31,6.760365830120648e-05
2019-08-30,0.00016634745906352893
2019-09-30,8.131019547150543e-05
2019-10-31,0.00010431644572892528
2019-11-29,0.00010192646910819157
2019-12-31,0.00010887558780716547
2020-01-31,0.00021990337575991903
2020-02-28,0.00018172390296657408
2020-03-31,0.00016062290994503983
2020-04-30,6.042016800395352e-05
2020-05-29,4.3490964373711386e-05
2020-06-30,0.0001647811967616442
2020-07-31,0.00011038696907308595
2020-08-31,8.523325194094799e-05
2020-09-30,0.0001558792405694089
2020-10-30,6.642306362310956e-05
2020-11-30,2.8875607987723396e-05
2020-12-31,0.00011098957428293915
2021-01-29,0.0001807169766479699
2021-02-26,0.00012429296429530904
2021-03-31,8.457939050904668e-05
2021-04-30,0.000128958519908685
2021-05-28,0.0001865763944827674
2021-06-30,0.0002302076592542736
2021-07-30,0.0001521551182452133
2021-08-31,9.853748803139628e-05
2021-09-30,0.0002101814462314241
2021-10-29,0.0001766751261494668
2021-11-30,0.00010568504427593989
2021-12-31,0.0001301844275236505
2022-01-31,0.0001231312938944895
2022-02-28,9.005671048617656e-05
2022-03-31,8.78222304078028e-05
2022-04-29,5.988537577059855e-05
2022-05-31,7.924330750841915e-05
2022-06-30,9.611638935168032e-05
2022-07-29,2.933673025227789e-05
2022-08-31,0.00010348073367594842
2022-09-30,5.526267655129949e-05
2022-10-31,0.00010994787457738531
2022-11-30,1.532278559895931e-05
2022-12-30,1.3144834894657244e-05
2023-01-31,8.88713454783376e-05
2023-02-28,7.6859947847238e-05
2023-03-31,0.00014709386472262353
2023-04-28,5.552676076663816e-05
2023-05-31,0.00014622270141719329
2023-06-30,0.00017507018000372326
2023-07-31,0.0001496221938190522
2023-08-31,0.0002989144403045146
2023-09-29,0.00017568940449394735
2023-10-31,0.0002536034852029578
2023-11-30,0.00014806437006880988
2023-12-29,0.00016772794440866385
2024-01-31,0.0002488759435414441
2024-02-29,0.00010070094702499106
2024-03-28,0.00013836601037322456
2024-04-30,0.00011569730294390168
2024-05-31,8.423091213624913e-05
2024-06-28,8.808121573696181e-05
2024-07-31,0.00012813382847229066
2024-08-30,0.00010546015897839037
2024-09-30,0.00012225204323402684
2024-10-31,0.00015075690171542614
2024-11-29,0.0001625738820596192
2024-12-31,0.00015262675768281227
2025-01-31,0.00012306636429409821
2025-02-28,0.00016287939276869842
2025-03-31,0.0001562694123115745
2025-04-30,0.00012700785747089043
2025-05-30,8.709854534543783e-05
2025-06-30,0.00011622634583984776
2025-07-31,0.0002500813956693901
2025-08-29,9.663261417113853e-05
2025-09-30,0.00013146664728724437
2025-10-31,0.0001966034521260555
2025-11-28,8.966690981016828e-05
2025-12-31,0.00011435030044979411
2026-01-30,0.0001419361013068898
2026-02-27,5.594147230151014e-05
2026-03-31,9.93721642437588e-05
2026-04-30,0.00015470954375604578
2026-05-29,0.00012532109793698143
2026-06-30,0.00021697450342989457
2026-07-31,8.598757957440612e-05
2026-08-31,0.00011310266153405074
2026-09-01,3.464169749684466e-05
