ticker,maximum_weight
KO,0.10000462130951421
PG,0.10000410838699465
WMT,0.10000365686757756
JNJ,0.10000363338990632
V,0.10000218514181027
NVDA,0.1000012906764151
CVX,0.1000011276608701
AVGO,0.100000895652507
COST,0.10000079849764124
JPM,0.10000077696515879
GOOGL,0.10000069018149974
META,0.10000045900253365
CAT,0.1000004051193106
XOM,0.10000035698477483
HD,0.10000022421469672
AMZN,0.10000000000000007
UNH,0.10000000000000007
AAPL,0.10000000000000006
MSFT,0.10000000000000003
MA,0.10000000000000002
