ticker,average_weight
JNJ,0.07443961186943945
KO,0.06958619385180861
PG,0.06956250867734032
WMT,0.0671852566339229
COST,0.06360070940070335
UNH,0.06123882875715654
JPM,0.05420453603469655
HD,0.052689574518813474
CAT,0.04874305192389452
XOM,0.04856828549906732
CVX,0.046304999416102506
AAPL,0.04498316173874375
V,0.043057747840244256
NVDA,0.0418864442208924
MSFT,0.03835368030500214
GOOGL,0.03701042037704486
AMZN,0.036682018696036045
META,0.03561570028611427
MA,0.03369183152576771
AVGO,0.03259542444589281
