strategy,cumulative_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,maximum_drawdown
QuantPilot V2,7.1905779342339535,0.20246921063578727,0.16454655868019655,1.2613180462512972,1.1852317744558964,-0.2471552080916397
Equal Weight,9.960868087818962,0.23358021484823088,0.17900218914411387,1.3235956222157006,1.2381390755040131,-0.311777575753704
Buy & Hold,29.454143248528748,0.34920286451634674,0.2857400653801113,1.2459126358891244,1.2137031028217258,-0.37867772510879283
SPY,3.5555662538820147,0.14218660281579742,0.1775772702724633,0.8765884249180943,0.8232402045151445,-0.3343758850524522
